episode,seed,steps,sim_dt,touches_head,touches_torso,touches_arm,touches_hand,touches_leg,touches_foot,total_touches,touches_per_min
1,1,1000,0.005,999,1842,2973,2104,1888,59,9865,118380.0
2,1,1000,0.005,1000,1000,2967,2882,1892,56,9797,117564.0
3,1,1000,0.005,1000,997,2965,2961,1888,145,9956,119472.0
4,1,1000,0.005,999,997,2966,2978,1904,53,9897,118764.0
5,1,1000,0.005,1000,999,2994,2919,1902,57,9871,118452.0
6,1,1000,0.005,1000,998,2969,2957,1892,322,10138,121656.0
7,1,1000,0.005,999,997,2963,2961,1894,1024,10838,130056.0
8,1,1000,0.005,999,1362,2966,2808,1894,61,10090,121080.0
9,1,1000,0.005,998,998,2974,2955,1898,116,9939,119268.0
10,1,1000,0.005,1000,995,2955,2940,1894,118,9902,118824.0
